"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","responses","stimulus","key_press","questionNo","questionOrder","version","task"
"[{""page_index"":0,""viewing_time"":2997}]","2998","instructions","0","2998","0.0-0.0-0.0","3SUOziTiKV7Bk","explicit","shuffled","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":24261},{""page_index"":1,""viewing_time"":11146},{""page_index"":2,""viewing_time"":8654},{""page_index"":3,""viewing_time"":10164},{""page_index"":4,""viewing_time"":2407},{""page_index"":3,""viewing_time"":1917},{""page_index"":4,""viewing_time"":5732},{""page_index"":5,""viewing_time"":1503}]","65784","instructions","1","68785","0.0-1.0","3SUOziTiKV7Bk","explicit","shuffled","","","","","","","","","",""
"","12334","survey-text","2","81123","0.0-2.0","3SUOziTiKV7Bk","explicit","shuffled","","","","{""Q0"":"""",""Q1"":""""}","","","","","",""
"[{""page_index"":0,""viewing_time"":19745},{""page_index"":1,""viewing_time"":13115}]","32860","instructions","3","113984","0.0-3.0","3SUOziTiKV7Bk","explicit","shuffled","","","","","","","","","",""
"","2525","survey-text","4","116511","0.0-4.0","3SUOziTiKV7Bk","explicit","shuffled","","","","{""Q0"":"""",""Q1"":""""}","","","","","",""
"[{""page_index"":0,""viewing_time"":4526},{""page_index"":1,""viewing_time"":18156}]","22682","instructions","5","139194","0.0-5.0","3SUOziTiKV7Bk","explicit","shuffled","","","","","","","","","",""
"","1627","image-keyboard-response","6","140826","0.0-6.0-0.0","3SUOziTiKV7Bk","explicit","shuffled","","","","","img/3_collinearity.png","32","3","4","collinearity","gotit"
