"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","responses","stimulus","key_press","questionNo","questionOrder","version","task"
"[{""page_index"":0,""viewing_time"":1178}]","1178","instructions","0","1182","0.0-0.0-0.0","2iYSniTiy1LbX","explicit","shuffled","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":431},{""page_index"":1,""viewing_time"":373},{""page_index"":2,""viewing_time"":298},{""page_index"":3,""viewing_time"":410}]","1513","instructions","1","2698","0.0-1.0","2iYSniTiy1LbX","explicit","shuffled","","","","","","","","","",""
"","1141","survey-text","2","3842","0.0-2.0","2iYSniTiy1LbX","explicit","shuffled","","","","{""Q0"":"""",""Q1"":""""}","","","","","",""
"[{""page_index"":0,""viewing_time"":563},{""page_index"":1,""viewing_time"":399}]","962","instructions","3","4805","0.0-3.0","2iYSniTiy1LbX","explicit","shuffled","","","","","","","","","",""
"","2437","survey-text","4","7244","0.0-4.0","2iYSniTiy1LbX","explicit","shuffled","","","","{""Q0"":"""",""Q1"":""""}","","","","","",""
"[{""page_index"":0,""viewing_time"":544},{""page_index"":1,""viewing_time"":482}]","1027","instructions","5","8271","0.0-5.0","2iYSniTiy1LbX","explicit","shuffled","","","","","","","","","",""
"","611","image-keyboard-response","6","8886","0.0-6.0-0.0","2iYSniTiy1LbX","explicit","shuffled","","","","","img/4_levels.png","32","4","1","levels","gotit"
