"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","view_history","rt","responses","stimulus","key_press","questionNo","questionOrder","version","task"
"true","fullscreen","0","2037","0.0-0.0","btest","shuffled","","","","","","","","",""
"","instructions","1","55034","0.0-1.0","btest","shuffled","[{""page_index"":0,""viewing_time"":6436},{""page_index"":1,""viewing_time"":31776},{""page_index"":2,""viewing_time"":1607},{""page_index"":3,""viewing_time"":4360},{""page_index"":4,""viewing_time"":1776},{""page_index"":5,""viewing_time"":2353},{""page_index"":6,""viewing_time"":4688}]","52996","","","","","","",""
"","survey-text","2","76522","0.0-2.0","btest","shuffled","","21484","{""Q0"":""has circles"",""Q1"":""does not have circles""}","","","","","",""
"","instructions","3","90306","0.0-3.0","btest","shuffled","[{""page_index"":0,""viewing_time"":4374},{""page_index"":1,""viewing_time"":9408}]","13782","","","","","","",""
"","survey-text","4","102146","0.0-4.0","btest","shuffled","","11840","{""Q0"":""Over laps line"",""Q1"":""line does not overlap""}","","","","","",""
"","instructions","5","190930","0.0-5.0","btest","shuffled","[{""page_index"":0,""viewing_time"":5487},{""page_index"":1,""viewing_time"":83296}]","88783","","","","","","",""
"","html-keyboard-response","6","217857","0.0-6.0-0.0","btest","shuffled","","26923","","<div class='bongard-image'><img src='img/0_collinearity.png' height='416' width='558'></img></div>","32","0","0","collinearity","gotit"
