"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","condition","group","workerId","assginementId","hitId","responses","stimulus","key_press","questionNo","questionOrder","version","task"
"[{""page_index"":0,""viewing_time"":14202}]","14203","instructions","0","14204","0.0-0.0-0.0","jZvTZiTiW0RB6","explicit","shuffled","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":148086},{""page_index"":1,""viewing_time"":23499},{""page_index"":2,""viewing_time"":93336},{""page_index"":3,""viewing_time"":12051},{""page_index"":4,""viewing_time"":5811},{""page_index"":3,""viewing_time"":1676},{""page_index"":2,""viewing_time"":8865},{""page_index"":3,""viewing_time"":65591},{""page_index"":4,""viewing_time"":12449},{""page_index"":3,""viewing_time"":501},{""page_index"":2,""viewing_time"":4428},{""page_index"":3,""viewing_time"":899},{""page_index"":4,""viewing_time"":9076},{""page_index"":5,""viewing_time"":11113}]","397381","instructions","1","411587","0.0-1.0","jZvTZiTiW0RB6","explicit","shuffled","","","","","","","","","",""
"","2316","survey-text","2","413906","0.0-2.0","jZvTZiTiW0RB6","explicit","shuffled","","","","{""Q0"":"""",""Q1"":""""}","","","","","",""
"[{""page_index"":0,""viewing_time"":87611},{""page_index"":1,""viewing_time"":69488}]","157099","instructions","3","571006","0.0-3.0","jZvTZiTiW0RB6","explicit","shuffled","","","","","","","","","",""
"","10328","survey-text","4","581335","0.0-4.0","jZvTZiTiW0RB6","explicit","shuffled","","","","{""Q0"":"""",""Q1"":""""}","","","","","",""
"[{""page_index"":0,""viewing_time"":2749},{""page_index"":1,""viewing_time"":11003}]","13752","instructions","5","595088","0.0-5.0","jZvTZiTiW0RB6","explicit","shuffled","","","","","","","","","",""
"","8422","image-keyboard-response","6","603513","0.0-6.0-0.0","jZvTZiTiW0RB6","explicit","shuffled","","","","","img/3_sameness.png","32","3","3","sameness","gotit"
